timestamp,event_type,position_id,event_name,strike,side,order_type,tokens,entry_price,exit_price,invested_usd,realized_pnl_usd,roi_pct,entry_edge_pct,entry_reason,close_reason,runtime_min
2026-03-04T11:29:15.729678+00:00,OPEN,bc2517be,Bitcoin above ___ on March 9?,68000,YES,TAKER_FAK,63.29,0.7900,,50.00,,,21.00,edge=21.0% w=0.139 iv=60.2% T=5.2d deribit=13MAR26,,
2026-03-04T11:29:15.730548+00:00,OPEN,c5f02968,Bitcoin above ___ on March 9?,70000,YES,TAKER_FAK,79.37,0.6300,,50.00,,,31.36,edge=31.4% w=0.361 iv=57.9% T=5.2d deribit=13MAR26,,
2026-03-04T11:29:15.800075+00:00,OPEN,948c8390,Bitcoin above ___ on March 10?,68000,YES,TAKER_FAK,65.79,0.7600,,50.00,,,23.98,edge=24.0% w=0.248 iv=60.2% T=6.2d deribit=13MAR26,,
2026-03-04T11:29:15.800544+00:00,OPEN,e66571d2,Bitcoin above ___ on March 10?,70000,YES,TAKER_FAK,80.65,0.6200,,50.00,,,28.81,edge=28.8% w=0.251 iv=57.9% T=6.2d deribit=13MAR26,,
2026-03-04T11:37:58.333347+00:00,OPEN,91522243,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,61.31,0.7400,,45.37,,,3.98,edge=4.0% w=0.045 iv=70.4%,,
2026-03-04T11:38:13.507190+00:00,OPEN,cd102133,Bitcoin above ___ on March 4?,68000,YES,MAKER_POST_ONLY,52.58,0.9510,,50.00,,,2.48,edge=2.5% w=0.210 iv=80.9%,,
2026-03-04T11:50:06.840684+00:00,OPEN,96a41ce8,Bitcoin above ___ on March 4?,68000,YES,TAKER_FAK,52.63,0.9500,,50.00,,,3.76,edge=3.8% w=0.320 iv=79.9% T=0.2d deribit=5MAR26,,
2026-03-04T11:50:47.334147+00:00,OPEN,f0925b42,Bitcoin above ___ on March 4?,70000,YES,MAKER_POST_ONLY,31.40,0.7310,,22.95,,,4.21,edge=4.2% w=0.023 iv=69.5% T=0.2d deribit=5MAR26,,
2026-03-04T11:53:05.639970+00:00,OPEN,49b14e26,Bitcoin above ___ on March 4?,68000,YES,TAKER_FAK,52.36,0.9550,,50.00,,,3.46,edge=3.5% w=0.324 iv=79.8% T=0.2d deribit=5MAR26,,
2026-03-04T11:53:05.641089+00:00,OPEN,decf79a8,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,55.02,0.7800,,42.91,,,4.40,edge=4.4% w=0.043 iv=69.6% T=0.2d deribit=5MAR26,,
2026-03-04T11:57:14.497278+00:00,OPEN,84c93990,Bitcoin above ___ on March 4?,68000,YES,TAKER_FAK,52.36,0.9550,,50.00,,,3.51,edge=3.5% w=0.314 iv=80.1% T=0.2d deribit=5MAR26,,
2026-03-04T11:57:14.497930+00:00,OPEN,67ca4ece,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,64.10,0.7800,,50.00,,,4.88,edge=4.9% w=0.055 iv=69.5% T=0.2d deribit=5MAR26,,
2026-03-04T11:59:27.175106+00:00,OPEN,f81162f4,Bitcoin above ___ on March 4?,68000,YES,TAKER_FAK,52.36,0.9550,,50.00,,,3.52,edge=3.5% w=0.318 iv=80.1% T=0.2d deribit=5MAR26,,
2026-03-04T11:59:27.175946+00:00,OPEN,959016bb,Bitcoin above ___ on March 4?,70000,YES,TAKER_FAK,64.10,0.7800,,50.00,,,4.77,edge=4.8% w=0.052 iv=69.6% T=0.2d deribit=5MAR26,,
2026-03-05T05:47:47.695482+00:00,OPEN,0278c4c0,Bitcoin above ___ on March 5?,72000,YES,MAKER_POST_ONLY,8.80,0.6020,,5.30,,,3.05,edge=3.0% kelly=0.035→0.005 iv=52.9% T=0.5d deribit=5MAR26 tier=3.0%,,
